"","left_company","department","job_level","salary","weekly_hours","business_travel","yrs_at_company","yrs_since_promotion","previous_companies","job_satisfaction","performance_rating","marital_status","miles_from_home"
"1","Yes","Sales","Director",118680.73971169,56,"Rarely",6,0,5,"Very High","Meets Expectations","Single",1
"2","No","Sales","Senior Manager",85576.4367908173,42,"Frequently",10,1,5,"Medium","Exceeds Expectations","Married",8
"3","Yes","Product Development","Associate",46235.785323861,56,"Rarely",0,0,6,"High","Minimally Effective","Single",2
"4","No","IT and Analytics","Director",117226.837498558,50,"Frequently",8,3,1,"High","Exceptional","Married",3
"5","No","Sales","Associate",36634.7264845127,46,"Rarely",2,2,2,"Medium","Exceeds Expectations","Married",2
"6","No","Marketing","Senior Manager",83519.5853836483,48,"Frequently",7,3,1,"Very High","Meets Expectations","Single",2
"7","No","Marketing","Senior Manager",88555.6463763183,44,"Rarely",1,0,3,"Low","Meets Expectations","Married",3
"8","No","Sales","Director",122280.881600783,47,"Rarely",1,0,3,"High","Exceptional","Divorced",24
"9","No","Finance and Operations","Senior Manager",94642.1832035346,50,"Frequently",9,1,3,"High","Meets Expectations","Single",23
"10","No","Product Development","Director",124537.851350346,51,"Rarely",7,7,3,"High","Exceeds Expectations","Married",27
"11","No","Sales","Director",122820.53127241,46,"Rarely",5,0,1,"Medium","Exceeds Expectations","Married",16
"12","No","Research","Manager",69565.5062033526,48,"Rarely",9,0,3,"High","Exceptional","Single",15
"13","No","Sales","Associate",41985.4976267297,48,"Rarely",5,4,2,"High","Meets Expectations","Divorced",26
"14","No","Sales","Director",117368.598024992,48,"Rarely",2,1,2,"Very High","Meets Expectations","Divorced",19
"15","Yes","Marketing","Manager",63876.5777728427,57,"Rarely",4,0,2,"High","Minimally Effective","Single",24
"16","No","Marketing","Manager",74328.398668702,47,"Rarely",10,8,2,"Low","Meets Expectations","Divorced",21
"17","No","Research","Associate",41883.7270941167,44,"Rarely",6,0,3,"Medium","Meets Expectations","Divorced",5
"18","No","Sales","Director",118269.472800279,48,"None",1,0,3,"Very High","Exceeds Expectations","Divorced",16
"19","No","IT and Analytics","Senior Manager",84196.9341520085,52,"Rarely",25,3,2,"Very High","Exceeds Expectations","Married",2
"20","No","IT and Analytics","Manager",67105.3333953663,48,"Rarely",3,1,3,"Very High","Meets Expectations","Single",2
"21","No","Product Development","Senior Manager",93904.690662328,50,"None",4,1,3,"High","Meets Expectations","Divorced",11
"22","Yes","Finance and Operations","Manager",56461.3933972568,58,"Rarely",5,0,3,"Low","Minimally Effective","Single",9
"23","No","Marketing","Senior Manager",97465.2855275585,50,"Rarely",12,2,2,"Medium","Exceeds Expectations","Single",7
"24","No","Marketing","Manager",69888.144716774,47,"Rarely",0,0,2,"Very High","Meets Expectations","Single",15
"25","Yes","Marketing","Director",108649.197004909,54,"Rarely",4,1,3,"Low","Meets Expectations","Single",6
"26","No","Marketing","Manager",62391.2326913365,51,"Rarely",14,4,1,"High","Meets Expectations","Divorced",5
"27","Yes","Research","Director",119443.17090093,62,"Frequently",10,6,6,"Low","Meets Expectations","Single",16
"28","No","Sales","Senior Manager",84021.0721257227,41,"Rarely",9,4,3,"Medium","Exceeds Expectations","Married",8
"29","No","Research","Director",116974.138370289,49,"Rarely",22,5,1,"Very High","Exceptional","Married",7
"30","No","Marketing","Associate",37230.2450178617,51,"Rarely",2,2,2,"Low","Exceeds Expectations","Single",2
"31","No","Marketing","Manager",73141.9662414286,49,"Rarely",1,0,1,"Very High","Meets Expectations","Single",2
"32","No","Sales","Director",119629.232656047,45,"Rarely",4,1,2,"Very High","Meets Expectations","Married",10
"33","No","Marketing","Director",126658.014995198,50,"Rarely",10,1,2,"High","Not Effective","Single",9
"34","Yes","Product Development","Senior Manager",98022.308955564,58,"Rarely",1,0,5,"Very High","Minimally Effective","Married",5
"35","Yes","Marketing","Senior Manager",93320.475736425,57,"Rarely",2,2,3,"Very High","Minimally Effective","Married",1
"36","No","IT and Analytics","Director",130978.672499006,42,"Rarely",5,1,1,"High","Meets Expectations","Divorced",2
"37","Yes","Sales","Associate",38538.6625233475,57,"Rarely",3,0,6,"High","Minimally Effective","Married",3
"38","No","Research","Senior Manager",82753.1674608471,55,"Rarely",2,2,3,"Very High","Meets Expectations","Married",2
"39","No","Product Development","Senior Manager",84914.2402559324,48,"Rarely",1,0,2,"Low","Meets Expectations","Married",5
"40","No","Product Development","Director",122196.649799069,46,"Frequently",5,1,7,"Low","Meets Expectations","Married",1
"41","No","IT and Analytics","Senior Manager",82673.8078284655,52,"Rarely",1,0,2,"Very High","Exceptional","Divorced",4
"42","No","IT and Analytics","Director",128104.549780475,48,"Rarely",1,0,3,"Low","Meets Expectations","Divorced",2
"43","Yes","Marketing","Associate",41806.4302878115,55,"Rarely",1,0,5,"High","Meets Expectations","Single",25
"44","No","Research","Senior Manager",97033.7245658316,48,"Frequently",9,1,2,"High","Exceeds Expectations","Single",8
"45","No","IT and Analytics","Director",125487.855758392,50,"Frequently",12,3,1,"Very High","Not Effective","Single",1
